query_generation_method,annealing_time,query_graph,num_relations,problem_index,sample_index,valid_ratio,opt_ratio,first_opt_index
IntLog,1000,STAR,5,0,0,0.0011,0.0000,None
IntLog,1000,STAR,5,0,1,0.0000,0.0000,None
IntLog,1000,STAR,5,0,2,0.0000,0.0000,None
IntLog,1000,STAR,5,0,3,0.0000,0.0000,None
IntLog,1000,STAR,5,0,4,0.0000,0.0000,None
IntLog,1000,STAR,5,0,5,0.0000,0.0000,None
IntLog,1000,STAR,5,0,6,0.0011,0.0000,None
IntLog,1000,STAR,5,0,7,0.0000,0.0000,None
IntLog,1000,STAR,5,0,8,0.0011,0.0000,None
IntLog,1000,STAR,5,0,9,0.0033,0.0000,None
IntLog,1000,STAR,5,0,10,0.0000,0.0000,None
IntLog,1000,STAR,5,0,11,0.0000,0.0000,None
IntLog,1000,STAR,5,0,12,0.0000,0.0000,None
IntLog,1000,STAR,5,0,13,0.0011,0.0000,None
IntLog,1000,STAR,5,0,14,0.0000,0.0000,None
IntLog,1000,STAR,5,0,15,0.0000,0.0000,None
IntLog,1000,STAR,5,0,16,0.0000,0.0000,None
IntLog,1000,STAR,5,0,17,0.0000,0.0000,None
IntLog,1000,STAR,5,0,18,0.0000,0.0000,None
IntLog,1000,STAR,5,0,19,0.0011,0.0000,None
IntLog,10,CYCLE,3,0,0,0.2711,0.0633,7
IntLog,10,CYCLE,3,0,1,0.2656,0.0889,0
IntLog,10,CYCLE,3,0,2,0.2467,0.0733,39
IntLog,10,CYCLE,3,0,3,0.2511,0.1000,10
IntLog,10,CYCLE,3,0,4,0.2833,0.1078,19
IntLog,10,CYCLE,3,0,5,0.2800,0.1356,8
IntLog,10,CYCLE,3,0,6,0.2533,0.1122,0
IntLog,10,CYCLE,3,0,7,0.3067,0.1478,6
IntLog,10,CYCLE,3,0,8,0.2833,0.1256,29
IntLog,10,CYCLE,3,0,9,0.2711,0.1011,7
IntLog,10,CYCLE,3,0,10,0.2567,0.1056,19
IntLog,10,CYCLE,3,0,11,0.2944,0.1033,5
IntLog,10,CYCLE,3,0,12,0.2567,0.0822,10
IntLog,10,CYCLE,3,0,13,0.2800,0.1300,19
