vendor,optimizer,opt_level,query_graph_type,density,gateset,num_relations,sample_index,depth
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,7,1145
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,8,1101
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,9,1146
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,10,1137
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,11,972
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,12,1076
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,13,1015
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,14,1307
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,15,1145
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,16,1070
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,17,987
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,18,1056
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,19,1176
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,0,1570
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,1,1672
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,2,1639
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,3,1419
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,4,1592
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,5,1611
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,6,1631
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,7,1592
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,8,1753
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,9,1845
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,10,1887
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,11,1701
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,12,1825
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,13,1861
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,14,1570
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,15,1652
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,16,1654
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,17,1433
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,18,1650
IBMQ,Tket,1,CHAIN,0.05,Native_gates,7,19,1816
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,0,281
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,1,302
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,2,226
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,3,226
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,4,252
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,5,226
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,6,310
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,7,281
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,8,266
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,9,226
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,10,302
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,11,226
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,12,291
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,13,266
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,14,278
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,15,266
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,16,291
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,17,310
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,18,252
IBMQ,Tket,1,CHAIN,0.1,Any_gates,4,19,252
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,0,348
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,1,449
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,2,480
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,3,421
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,4,401
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,5,502
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,6,459
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,7,426
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,8,481
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,9,421
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,10,362
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,11,345
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,12,374
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,13,347
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,14,401
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,15,401
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,16,362
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,17,482
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,18,347
IBMQ,Tket,1,CHAIN,0.1,Any_gates,5,19,573
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,0,584
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,1,748
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,2,565
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,3,540
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,4,645
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,5,584
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,6,584
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,7,559
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,8,715
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,9,678
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,10,682
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,11,699
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,12,524
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,13,541
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,14,805
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,15,596
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,16,509
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,17,556
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,18,510
IBMQ,Tket,1,CHAIN,0.1,Any_gates,6,19,676
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,0,719
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,1,800
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,2,876
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,3,804
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,4,665
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,5,697
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,6,785
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,7,631
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,8,862
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,9,719
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,10,748
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,11,829
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,12,805
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,13,806
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,14,725
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,15,553
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,16,737
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,17,712
IBMQ,Tket,1,CHAIN,0.1,Any_gates,7,18,719
